id;date;price;free_float;shares
59;2026-09-10;103.6;0.3852;49583333
6;2026-09-10;34.2;0.422;5463121
60;2026-09-10;640;0.49;5993666
62;2026-09-10;381.4;0.2745;106691000
63;2026-09-10;367;1;702562700
64;2026-09-10;130.5;0.9296;2112421867
65;2026-09-10;71.82;0.8561;1843899204
66;2026-09-10;136.2;1;12825883
67;2026-09-10;21.56;1;168426561
68;2026-09-10;8.425;0.6334;331939199
69;2026-09-10;1190;1;570000
70;2026-09-10;70.88;0.9345;566875513
71;2026-09-10;70.2;0.4912;56875000
72;2026-09-10;65.8;0.6642;6000000
74;2026-09-10;59.4;0.417;75000000
76;2026-09-10;92.6;0.7405;159455239
79;2026-09-10;48.78;0.9499;82017960
80;2026-09-10;196.8;1;28936000
81;2026-09-10;200;0.7733;99418092
83;2026-09-10;228;0.6933;330000
87;2026-09-10;536.2;1;70229021
88;2026-09-10;271;0.3912;8007202
9;2026-09-10;17.3;0.3886;16712744
90;2026-09-10;85.7;0.95;45230000
95;2026-09-10;881.4;1;28532982
97;2026-09-10;167;1;15792461
98;2026-09-10;117.9;0.3305;86061900
